iteration,red_power,blue_power,cofm_ratio,win_side
125,6.898391,8.468966,0.81,BLUE
126,9.951098,7.818586,1.27,RED
127,6.651218,7.6751623,0.87,BLUE
128,10.047727,6.109429,1.64,RED
129,10.408637,4.8364215,2.15,RED
130,8.787018,4.733896,1.86,RED
131,7.664328,6.4700994,1.18,RED
132,6.769362,5.878762,1.15,RED
133,8.925747,6.7652326,1.32,RED
134,8.578547,6.0256376,1.42,RED
135,8.427417,6.1985946,1.36,RED
136,6.7762885,8.148726,0.83,BLUE
137,12.848676,5.370202,2.39,RED
138,11.8047085,4.9847655,2.37,RED
139,9.255782,8.223032,1.13,RED
140,13.036227,7.542409,1.73,RED
141,11.543775,6.6561112,1.73,RED
142,13.355474,6.4704876,2.06,RED
143,12.543024,7.086945,1.77,RED
144,8.041923,7.857764,1.02,BLUE
145,6.541173,8.888717,0.74,BLUE
146,9.990046,7.6661506,1.3,RED
147,11.054843,8.650886,1.28,RED
148,8.771981,7.0524364,1.24,RED
149,7.827229,4.9807115,1.57,RED
150,7.5694604,7.0030293,1.08,BLUE
151,6.9433713,4.547191,1.53,RED
152,6.691354,5.4430585,1.23,RED
153,9.726555,9.035766,1.08,BLUE
154,6.6809015,7.3279743,0.91,BLUE
155,7.221789,9.118585,0.79,BLUE
156,9.555126,6.3861146,1.5,RED
157,9.8046255,5.433373,1.8,RED
158,7.6213026,6.577807,1.16,RED
159,6.537762,7.906833,0.83,BLUE
160,7.1778345,7.8589835,0.91,BLUE
161,11.165677,4.978702,2.24,RED
162,11.398664,8.120517,1.4,RED
163,6.88569,7.6739154,0.9,BLUE
164,7.1001306,6.192428,1.15,RED
165,10.607422,7.618714,1.39,RED
166,12.925527,6.6947684,1.93,RED
167,11.358114,5.2078853,2.18,RED
168,6.8716173,5.302353,1.3,RED
169,7.598007,9.059776,0.84,BLUE
170,9.597656,5.3552613,1.79,RED
171,7.965273,4.4438343,1.79,RED
172,6.764184,5.7127714,1.18,RED
173,9.967537,8.140699,1.22,RED
174,12.344364,8.5445175,1.44,RED
175,9.127401,4.7537513,1.92,RED
176,8.858621,7.7519674,1.14,RED
177,8.754689,7.232458,1.21,RED
178,8.735785,8.707551,1.0,BLUE
179,12.531288,4.6832304,2.68,RED
180,10.854531,7.3357453,1.48,RED
181,12.227026,6.105878,2.0,RED
182,9.776952,8.737702,1.12,RED
183,10.894782,7.42834,1.47,RED
184,11.93548,8.494077,1.41,RED
185,10.579634,7.3117886,1.45,RED
186,10.606806,8.155726,1.3,RED
187,12.467838,5.7499228,2.17,RED
188,11.204257,6.023788,1.86,RED
189,12.084612,8.447223,1.43,RED
190,6.3299236,4.2069798,1.5,RED
191,8.48757,9.0947485,0.93,BLUE
192,11.286912,8.873963,1.27,RED
193,11.531608,5.115896,2.25,RED
194,12.743483,8.49859,1.5,RED
195,6.967857,7.5918565,0.92,BLUE
196,7.4003406,4.759826,1.55,RED
197,10.564529,8.481015,1.25,RED
198,8.852164,4.336096,2.04,RED
199,7.765473,8.626139,0.9,BLUE
200,9.206039,9.248736,1.0,BLUE
201,9.822594,5.326561,1.84,RED
202,9.89594,6.3678336,1.55,RED
203,9.216855,6.2751827,1.47,RED
204,8.237079,7.9511557,1.04,BLUE
205,8.434065,5.738467,1.47,RED
206,8.077543,7.106614,1.14,RED
207,11.176779,7.1229815,1.57,RED
208,12.185429,7.356595,1.66,RED
209,7.183487,7.442195,0.97,BLUE
210,12.495936,7.124214,1.75,RED
211,8.214008,6.678412,1.23,RED
212,6.523623,4.7798514,1.36,RED
213,11.743841,4.781582,2.46,RED
214,8.656272,5.5387406,1.56,RED
215,7.4591603,7.61895,0.98,BLUE
216,10.411843,8.663944,1.2,RED
217,12.7925625,5.5312138,2.31,RED
218,7.4167757,7.2062106,1.03,BLUE
219,12.03965,6.628434,1.82,RED
220,7.2774878,5.1067553,1.43,RED
221,8.984958,6.4879823,1.38,RED
222,11.960315,6.3271394,1.89,RED
223,8.080602,8.727647,0.93,BLUE
224,7.5765786,6.908327,1.1,BLUE
225,11.765254,7.683834,1.53,RED
226,9.156203,4.9862213,1.84,RED
227,8.21062,6.8467517,1.2,RED
228,12.507603,6.9361258,1.8,RED
229,10.217605,5.8866525,1.74,RED
230,10.443283,7.9754457,1.31,RED
231,7.6377597,8.608725,0.89,BLUE
232,9.602068,7.4462976,1.29,RED
233,6.970875,8.726751,0.8,BLUE
234,8.792426,8.246749,1.07,BLUE
235,10.765522,7.876475,1.37,RED
236,6.688252,7.437157,0.9,BLUE
237,13.160837,7.6864986,1.71,RED
238,7.0632424,4.7000356,1.5,RED
239,11.133341,8.2026825,1.36,RED
240,8.807151,5.7455993,1.53,RED
241,7.1206264,6.1220703,1.16,RED
242,10.172364,7.000861,1.45,RED
243,6.4563684,5.370808,1.2,RED
244,6.152647,7.716223,0.8,BLUE
245,11.08143,7.0175424,1.58,RED
246,12.155822,7.466013,1.63,RED
247,10.349645,4.7088704,2.2,RED
